上櫃股票每日收盤行情(不含定價)
產業類別:所有證券(不含權證、牛熊證)
資料日期:114/08/27
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(張數),最後賣價,最後賣量(張數),發行股數 ,次日漲停價 ,次日跌停價
"00841B","凱基AAA-AA公司債","28.87","+0.12","28.93","28.93","28.86","103,000","2,973,660","5","28.79","10","28.83","1","70,440,000","9,999.95","0.01"
"00842B","台新美元銀行債","30.79","+0.01","30.76","30.80","30.76","111,000","3,417,510","7","30.73","25","30.80","6","9,767,000","9,999.95","0.01"
"00844B","新光15年IG金融債","30.66","+0.05","30.66","30.66","30.66","10,000","306,600","4","30.66","20","30.68","1","231,175,000","9,999.95","0.01"
"00845B","富邦新興投等債","32.52","+0.12","32.44","32.53","32.44","24,000","780,430","8","32.52","15","32.53","17","250,551,000","9,999.95","0.01"
"00846B","富邦歐洲銀行債","34.92","+0.02","34.92","35.00","34.92","114,000","3,988,170","14","34.92","23","34.96","1","74,350,000","9,999.95","0.01"
"00847B","中信美國市政債","24.94","+0.06","24.93","24.98","24.93","114,000","2,846,280","6","24.94","29","24.98","49","9,305,000","9,999.95","0.01"
"00848B","中信新興亞洲債","33.67","+0.06","33.70","33.70","33.67","101,000","3,400,700","3","33.65","2","33.67","1","136,566,000","9,999.95","0.01"
"00849B","中信EM主權債0-5","36.08","+0.05","36.03","36.09","36.03","108,000","3,896,420","4","36.06","20","36.07","1","484,606,000","9,999.95","0.01"
"00853B","統一美債10年Aa-A","27.33","+0.10","27.27","27.35","27.27","861,000","23,538,190","20","27.31","20","27.32","62","144,134,000","9,999.95","0.01"
"00856B","永豐1-3年美公債","36.77","+0.09","36.74","36.79","36.74","20,000","735,170","4","36.78","58","36.79","10","7,792,000","9,999.95","0.01"
"00857B","永豐20年美公債","22.64","+0.11","22.63","22.67","22.62","2,351,000","53,247,200","182","22.64","4","22.65","128","668,268,000","9,999.95","0.01"
"00858","永豐美國500大","31.17","+0.27","31.17","31.18","31.14","1,498,000","46,688,680","303","31.16","97","31.17","13","129,874,000","9,999.95","0.01"
"00859B","群益0-1年美債","40.47","+0.11","40.45","40.50","40.45","1,216,000","49,215,820","43","40.46","5","40.48","5","4,511,000","9,999.95","0.01"
"00860B","群益1-5Y投資級債","37.04","+0.11","37.04","37.04","37.02","101,000","3,740,040","5","37.02","1","37.05","10","4,171,000","9,999.95","0.01"
"00862B","中信投資級公司債","31.28","+0.13","31.22","31.28","31.22","130,000","4,064,110","12","31.25","1","31.28","54","796,881,000","9,999.95","0.01"
"00863B","中信全球電信債","31.73","+0.08","31.75","31.76","31.73","135,000","4,287,160","10","31.73","10","31.74","1","565,464,000","9,999.95","0.01"
"00864B","中信美國公債0-1","44.88","+0.13","44.77","44.89","44.77","4,170,000","187,060,540","210","44.87","10","44.88","2","143,722,000","9,999.95","0.01"
"00867B","新光A-BBB電信債","30.62","+0.06","30.62","30.62","30.62","200,000","6,124,000","2","30.58","25","30.60","2","596,150,000","9,999.95","0.01"
"00870B","元大15年EM主權債","27.66","+0.01","27.66","27.66","27.66","1,000","27,660","1","27.65","1","27.68","1","623,651,000","9,999.95","0.01"
"00877","復華中國5G","20.24","+0.89","19.20","20.27","19.16","16,952,000","337,091,960","2,353","20.23","300","20.24","123","157,288,000","9,999.95","0.01"
"00883B","中信ESG投資級債","30.13","+0.08","30.14","30.14","30.13","103,000","3,103,410","5","30.13","1","30.14","14","10,758,000","9,999.95","0.01"
"00884B","中信低碳新興債","28.65","+0.03","28.69","28.70","28.65","104,000","2,984,640","5","28.64","20","28.66","1","75,940,000","9,999.95","0.01"
"00886","永豐美國科技","35.56","+0.33","35.55","35.56","35.52","15,000","533,170","4","35.55","26","35.65","4","6,451,000","9,999.95","0.01"
"00887","永豐中國科技50大","10.83","+0.37","10.46","10.85","10.40","43,932,000","469,508,170","5,494","10.83","809","10.84","83","526,351,000","9,999.95","0.01"
"00888","永豐台灣ESG","17.27","+0.15","17.21","17.32","17.21","1,136,000","19,613,580","346","17.24","311","17.27","9","308,978,000","18.99","15.55"
"00890B","凱基ESG BBB債15+","31.81","+0.11","31.81","31.83","31.81","513,000","16,328,540","13","31.78","10","31.81","5","20,764,000","9,999.95","0.01"
"00928","中信上櫃ESG 30","17.62","+0.59","17.20","17.65","17.20","1,434,000","25,090,280","358","17.62","81","17.63","105","42,356,000","19.38","15.86"
"00931B","統一美債20年","13.12","+0.07","13.10","13.14","13.10","3,717,000","48,768,300","242","13.11","419","13.12","345","2,126,398,000","9,999.95","0.01"
"00933B","國泰10Y+金融債","15.73","+0.07","15.71","15.74","15.71","8,495,000","133,605,810","844","15.72","139","15.73","338","5,261,958,000","9,999.95","0.01"
"00937B","群益ESG投等債20+","14.60","+0.03","14.60","14.62","14.59","34,136,000","498,609,910","5,534","14.60","4,768","14.61","663","16,728,805,000","9,999.95","0.01"
"00942B","台新美A公司債20+","14.00","+0.04","13.98","14.02","13.98","1,633,000","22,876,280","85","13.99","961","14.00","1","763,459,000","9,999.95","0.01"
"00948B","中信優息投資級債","9.27","+0.03","9.27","9.29","9.27","5,162,000","47,896,740","322","9.27","5,141","9.28","470","3,241,427,000","9,999.95","0.01"
"00950B","凱基A級公司債","13.82","+0.06","13.82","13.83","13.81","6,495,000","89,748,320","422","13.81","1,324","13.82","29","2,667,309,000","9,999.95","0.01"
"00955","中信日本商社","10.95","-0.03","10.99","11.00","10.95","3,988,000","43,712,600","1,487","10.95","447","10.96","37","197,431,000","9,999.95","0.01"
"00957B","兆豐US優選投等債","13.36","+0.02","13.38","13.38","13.35","749,000","10,006,690","76","13.36","40","13.37","1,092","201,763,000","9,999.95","0.01"
"00958B","永豐ESG銀行債15+","9.03","-0.01","9.04","9.05","9.03","802,000","7,244,920","62","9.03","3","9.05","1,591","210,271,000","9,999.95","0.01"
"00959B","大華投等美債15Y+","9.24","+0.02","9.25","9.26","9.24","809,000","7,480,170","157","9.24","88","9.25","28","701,836,000","9,999.95","0.01"
"00966B","統一ESG投等債15+","13.68","+0.05","13.68","13.69","13.67","548,000","7,491,740","33","13.67","3","13.68","695","183,732,000","9,999.95","0.01"
"00967B","元大優息美債","8.89","+0.05","8.88","8.90","8.88","201,000","1,786,510","45","8.89","4","8.90","862","250,407,000","9,999.95","0.01"
"00968B","元大優息投等債","9.09","+0.04","9.07","9.10","9.07","1,595,000","14,491,920","196","9.09","5","9.10","541","1,010,511,000","9,999.95","0.01"
"00969B","元大零息超長美債","7.95","+0.03","7.92","7.96","7.92","757,000","6,015,420","49","7.94","7","7.95","238","230,633,000","9,999.95","0.01"
"00970B","新光BBB投等債20+","9.17","+0.03","9.15","9.18","9.15","2,860,000","26,216,390","133","9.16","601","9.17","361","546,729,000","9,999.95","0.01"
