"110年06月27日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","1,408,134,906","6,549,161","4,259",
"2.台灣存託憑證","6,003,000","2,001,000","2,001",
"3.受益憑證","0","0","0",
"4.ETF","22,569,902","194,343","112",
"5.受益證券","0","0","0",
"6.變更交易股票","0","0","0",
"7.認購(售)權證","2,329,960","5,060,000","64",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","0","0","0",
"14.創新板股票","1,803,779,350","34,659,000","3,404",
"15.創新板-變更交易方法股票","0","0","0",
"證券合計(1+6+14+15)","3,211,914,256","41,208,161","7,663",
"總計(1~15)","3,242,817,118","48,463,504","9,840",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","5,328(200)","420(24)",
"下跌(跌停)","4,707(32)","415(0)",
"持平","836","107",
"未成交","10,333","3",
"無比價","2,167","6",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"不加計外幣交易證券交易金額。",

"110年06月27日每日收盤行情(全部(不含權證、牛熊證))"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101B","台泥乙特","0","0","0","--","--","--","--"," ","0.00","--","3","--","6","0.00",
"1102","亞泥","43,521","40","2,141,167","50.00","50.00","46.10","46.10","-","4.50","45.90","72","46.10","85","9.02",
"1103","嘉泥","3,000","1","68,100","22.70","22.70","22.70","22.70","+","0.35","21.00","95","--","17","7.91",
"1104","環泥","2,000","2","41,400","20.70","20.70","20.70","20.70","-","2.25","23.05","49","--","10","9.45",
"1108","幸福","0","0","0","--","--","--","--"," ","0.00","--","68","--","2","15.57",
"1109","信大","0","0","0","--","--","--","--"," ","0.00","--","10","--","1","7.26",
"1110","東泥","0","0","0","--","--","--","--"," ","0.00","--","29","--","9","128.33",
"1201","味全","4,000","3","88,000","22.00","22.00","22.00","22.00","+","0.55","22.00","67","22.50","5","18.80",
"1203","味王","0","0","0","--","--","--","--"," ","0.00","--","9","--","4","18.82",
"1210","大成","2,000","2","120,000","60.00","60.00","60.00","60.00","+","0.10","56.80","239","60.00","26","14.02",
"1213","大飲","0","0","0","--","--","--","--"," ","0.00","--","7","--","2","0.00",
"1215","卜蜂","19,000","17","1,628,700","85.00","88.00","84.90","85.10","+","3.60","--","129","--","160","12.61",
"1216","統一","2,020","3","149,116","73.50","74.00","73.50","74.00","+","0.50","75.00","6","--","63","18.69",
"1217","愛之味","7,000","7","82,400","11.60","11.85","11.60","11.60","+","0.15","10.35","296","--","10","20.71",
"1218","泰山","0","0","0","--","--","--","--"," ","0.00","--","33","--","8","15.87",
