"109年06月18日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
="006204","永豐臺灣加權","1,000","1","57,900","57.90","57.90","57.90","57.90","+","0.35","57.65","115","57.80","57","0.00",
="006205","富邦上証","1,832,000","141","53,491,900","29.09","29.31","28.98","29.28","+","0.19","29.27","301","29.28","9","0.00",
="006206","元大上證50","468,000","65","14,122,690","30.26","30.45","30.07","30.43","+","0.15","30.43","8","30.44","46","0.00",
="006207","FH滬深","622,000","52","14,349,740","22.98","23.23","22.95","23.21","+","0.23","23.21","77","23.23","4","0.00",
="006208","富邦台50","491,000","140","24,907,950","50.80","50.90","50.50","50.85","+","0.05","50.80","4","50.85","5","0.00",
="00625K","富邦上証+R","51,000","3","359,560","7.06","7.06","7.05","7.05","+","0.11","7.01","5","7.06","9","0.00",
="00631L","元大台灣50正2","6,898,000","1,818","342,833,330","49.86","50.15","49.12","49.92","+","0.32","49.91","5","49.92","135","0.00",
="00632R","元大台灣50反1","107,531,000","7,680","1,035,117,580","9.62","9.69","9.58","9.60","-","0.04","9.60","2,080","9.61","200","0.00",
="00633L","富邦上証正2","10,156,000","1,667","439,007,500","43.25","43.73","42.63","43.65","+","0.75","43.59","3","43.65","25","0.00",
="00634R","富邦上証反1","568,000","119","3,164,260","5.60","5.63","5.55","5.57","-","0.04","5.56","43","5.57","162","0.00",
="00635U","元大S&P黃金","843,000","177","20,501,510","24.33","24.34","24.29","24.32","+","0.01","24.31","53","24.32","18","0.00",
="00636","國泰中國A50","769,000","148","15,717,520","20.43","20.60","20.34","20.59","+","0.17","20.59","195","20.60","25","0.00",
="00636K","國泰中國A50+U","300","1","2,064","6.88","6.88","6.88","6.88","-","0.02","6.86","4","7.06","2","0.00",
="00637L","元大滬深300正2","64,242,000","5,124","1,075,803,750","16.75","16.95","16.52","16.89","+","0.25","16.88","66","16.89","114","0.00",
="00638R","元大滬深300反1","1,387,000","149","15,575,520","11.05","11.30","11.05","11.18","-","0.07","11.16","19","11.18","346","0.00",
="00639","富邦深100","2,403,000","196","28,315,330","11.70","11.84","11.69","11.82","+","0.12","11.82","280","11.83","5","0.00",
="00640L","富邦日本正2","1,463,000","256","27,317,710","18.64","18.85","18.41","18.75","-","0.15","18.74","11","18.75","11","0.00",
="00641R","富邦日本反1","412,000","81","5,722,100","13.92","13.99","13.83","13.86","+","0.05","13.86","55","13.87","10","0.00",
="00642U","元大S&P石油","7,996,000","2,449","71,637,000","8.98","8.98","8.94","8.97","-","0.04","8.97","41","8.98","94","0.00",
="00643","群益深証中小","523,000","139","7,462,040","14.20","14.34","14.18","14.34","+","0.15","14.33","8","14.34","6","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","3.39","2","3.47","2","0.00",
="00645","富邦日本","76,000","12","1,556,830","20.30","20.52","20.30","20.51","-","0.03","20.46","10","20.51","17","0.00",
="00646","元大S&P500","1,560,000","557","43,533,590","28.04","28.04","27.78","27.96","-","0.27","27.95","10","27.96","71","0.00",
="00647L","元大S&P500正2","1,262,000","279","44,298,250","35.32","35.39","34.80","35.26","-","0.60","35.25","1","35.26","7","0.00",
="00648R","元大S&P500反1","2,788,000","219","29,427,210","10.53","10.60","10.50","10.55","+","0.09","10.54","8","10.55","1,318","0.00",
="00650L","FH香港正2","1,002,000","327","22,084,280","22.09","22.30","21.65","22.17","+","0.13","22.11","83","22.17","20","0.00",
="00651R","FH香港反1","664,000","94","5,816,370","8.70","8.84","8.70","8.75","-","0.01","8.72","10","8.75","334","0.00",
="00652","富邦印度","468,000","260","8,341,760","17.89","17.97","17.75","17.92","-","0.01","17.91","1","17.92","64","0.00",
="00653L","富邦印度正2","17,979,000","3,618","308,662,140","17.26","17.41","17.00","17.28","-","0.03","17.27","15","17.28","73","0.00",
="00654R","富邦印度反1","207,000","52","3,094,700","15.00","15.06","14.87","14.89","-","0.02","14.92","1","14.94","1","0.00",
="00655L","國泰中國A50正2","3,242,000","787","102,662,890","31.68","32.03","31.18","31.96","+","0.58","31.93","50","31.96","12","0.00",
="00656R","國泰中國A50反1","110,000","31","1,117,110","10.20","10.25","10.12","10.12","-","0.10","10.12","42","10.14","399","0.00",
="00657","國泰日經225","373,000","26","10,237,150","27.45","27.71","27.25","27.66","-","0.09","27.61","26","27.66","9","0.00",
="00657K","國泰日經225+U","100","1","936","9.36","9.36","9.36","9.36","-","0.01","9.28","3","9.39","3","0.00",
="00660","元大歐洲50","18,000","14","415,950","23.18","23.25","23.00","23.25","+","0.09","23.15","18","23.19","20","0.00",
="00661","元大日經225","2,000","2","56,070","28.05","28.05","28.02","28.02","X","0.00","28.04","30","28.21","10","0.00",
="00662","富邦NASDAQ","298,000","127","11,271,480","38.03","38.03","37.68","37.97","-","0.07","37.96","2","37.97","69","0.00",
="00663L","國泰臺灣加權正2","108,000","14","4,819,400","44.93","45.19","44.30","44.95","+","0.22","44.92","57","44.95","15","0.00",
="00664R","國泰臺灣加權反1","3,413,000","466","37,202,110","10.90","10.98","10.86","10.88","-","0.05","10.88","1,142","10.90","1,176","0.00",
="00665L","富邦恒生國企正2","218,000","62","4,547,260","20.70","21.15","20.55","21.05","+","0.21","21.04","1","21.05","100","0.00",
="00666R","富邦恒生國企反1","99,000","10","1,328,650","13.54","13.60","13.38","13.39","-","0.15","13.41","149","13.46","40","0.00",
="00668","國泰美國道瓊","607,000","216","16,885,240","27.98","28.00","27.70","27.90","-","0.29","27.88","64","27.90","10","0.00",
="00668K","國泰美國道瓊+U","100","1","944","9.44","9.44","9.44","9.44","-","0.09","9.40","4","9.49","4","0.00",
