"112年03月01日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"特股高息20報酬指數","6,830.54","-","13.83","-0.20","",
"臺灣500報酬指數","9,380.94","+","52.01","0.56","",
"臺灣勞工權益報酬指數","8,804.53","-","45.62","-0.52","",
"微波高息精選20報酬指數","7,503.08","-","43.65","-0.58","",
"特選世代行動通訊報酬指數","6,939.18","+","100.34","1.47","",
"智慧投資多因子30報酬指數","5,806.22","+","23.79","0.41","",
"特選大蘋果報酬正向兩倍指數","13,839.60","+","121.13","0.88","",
"特選大蘋果報酬反向一倍指數","6,858.90","-","30.41","-0.44","",
"特選價值成長報酬指數","8,212.07","-","59.47","-0.72","",
"臺灣上櫃永續報酬指數","7,065.54","+","45.22","0.64","",
"特選台股領航報酬指數","7,858.16","+","143.85","1.86","",
"特選Smart多因子報酬指數","6,407.37","+","65.56","1.03","",
"特選ESG高股息報酬指數","4,816.36","+","113.60","2.42","",
"特選上櫃ESG成長報酬指數","4,744.99","+","32.41","0.69","",
"特選上櫃ESG電子菁英報酬指數","4,890.59","+","37.61","0.77","",
"臺灣優息存股報酬指數","5,050.66","-","58.24","-1.14","",
"特選上櫃ESG永續高股息報酬指數","6,442.02","+","7.70","0.12","",
"特選臺灣金融高股息存股報酬指數","5,191.47","-","32.79","-0.63","",
"特選臺灣產業龍頭存股等權重報酬指數","5,649.94","-","35.00","-0.62","",
"上櫃ESG 30報酬指數","5,767.71","+","32.11","0.56","",
"臺灣ESG低碳50報酬指數","5,243.94","+","74.52","1.44","",
"112年03月01日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","239,759,395,593","3,088,244,451","1,745,538",
"2.台灣存託憑證","9,641,833","1,983,758","751",
"3.受益憑證","0","0","0",
"4.ETF","12,570,527,979","841,432,641","245,025",
"5.受益證券","21,258,577","1,100,151","231",
"6.變更交易股票","10,452,275","1,240,448","1,032",
"7.認購(售)權證","1,939,838,350","1,666,646,000","64,672",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","13,524,340","2,720,000","339",
"14.創新板股票","4,951,125","47,025","33",
"15.創新板-變更交易方法股票","0","0","0",
"證券合計(1+6+14+15)","239,774,798,993","3,089,531,924","1,746,603",
"總計(1~15)","254,329,590,072","5,603,414,474","2,057,621",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","4,227(6)","372(3)",
"下跌(跌停)","4,860(73)","521(2)",
"持平","492","72",
"未成交","12,112","1",
"無比價","2,208","2",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"不加計外幣交易證券交易金額。",

"112年03月01日每日收盤行情(全部(不含權證、牛熊證))"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","7,996,077","14,283","945,839,757","117.30","119.45","116.85","119.35","+","0.55","119.30","72","119.35","8","0.00",
="0051","元大中型100","68,090","183","3,830,135","56.35","56.35","56.00","56.20","-","0.25","56.10","3","56.35","1","0.00",
="0052","富邦科技","288,335","434","30,265,908","104.00","106.15","103.30","106.15","+","1.55","105.95","1","106.15","5","0.00",
="0053","元大電子","6,999","1,004","407,685","57.90","59.20","57.90","59.20","+","0.50","58.95","34","59.35","25","0.00",
="0055","元大MSCI金融","242,458","437","5,430,352","22.48","22.48","22.29","22.45","-","0.05","22.43","3","22.45","5","0.00",
="0056","元大高股息","20,105,562","18,349","554,722,946","27.58","27.72","27.42","27.72","+","0.05","27.71","14","27.72","82","0.00",
="0057","富邦摩台","2,021","1,001","174,164","86.75","86.75","86.75","86.75","+","0.15","86.75","20","87.05","20","0.00",
="0061","元大寶滬深","78,509","987","1,539,131","19.38","19.69","19.38","19.69","+","0.31","19.68","5","19.69","3","0.00",
="006203","元大MSCI台灣","8,361","797","480,051","57.35","57.85","57.20","57.80","+","0.15","57.20","1","58.25","20","0.00",
="006204","永豐臺灣加權","25,600","1,008","2,002,308","77.50","78.35","77.50","78.35","+","0.05","78.15","10","78.35","2","0.00",
="006205","富邦上証","1,306,115","332","42,812,584","32.24","32.95","32.22","32.87","+","0.51","32.79","221","32.87","160","0.00",
="006206","元大上證50","92,137","1,027","2,895,609","31.00","31.68","30.90","31.56","+","0.56","31.49","50","31.56","27","0.00",
="006207","FH滬深","276,559","37","7,049,715","25.48","25.79","25.15","25.76","+","0.57","25.73","1","25.76","49","0.00",
="006208","富邦台50","5,855,707","8,180","401,583,523","68.05","69.15","67.75","69.05","+","0.35","69.00","98","69.05","21","0.00",
="00625K","富邦上証+R","0","0","0","--","--","--","--"," ","0.00","7.44","5","7.50","5","0.00",
="00631L","元大台灣50正2","3,803,242","2,059","421,321,537","109.50","112.60","108.95","112.50","+","0.65","112.30","264","112.50","83","0.00",
="00632R","元大台灣50反1","187,032,755","7,033","1,006,687,978","5.41","5.43","5.34","5.34","-","0.01","5.34","23,736","5.35","319","0.00",
="00633L","富邦上証正2","13,162,220","2,477","543,836,426","40.35","41.99","40.30","41.64","+","1.18","41.63","28","41.64","218","0.00",
="00634R","富邦上証反1","472,000","52","2,045,450","4.41","4.41","4.30","4.33","-","0.05","4.32","504","4.33","24","0.00",
="00635U","期元大S&P黃金","219,635","95","5,129,895","23.31","23.41","23.29","23.41","+","0.10","23.40","2","23.41","3","0.00",
="00636","國泰中國A50","1,709,885","1,170","37,854,739","21.79","22.32","21.79","22.27","+","0.37","22.24","36","22.27","47","0.00",
="00636K","國泰中國A50+U","200","2","1,454","7.27","7.27","7.27","7.27","+","0.10","7.27","8","7.30","1","0.00",
="00637L","元大滬深300正2","82,002,231","9,619","1,334,013,342","15.90","16.50","15.89","16.37","+","0.42","16.36","182","16.37","682","0.00",
="00638R","元大滬深300反1","1,036,033","78","9,478,161","9.23","9.26","9.05","9.10","-","0.09","9.08","14","9.10","302","0.00",
="00639","富邦深100","805,761","276","10,839,442","13.35","13.50","13.28","13.48","+","0.20","13.47","1","13.48","54","0.00",
="00640L","富邦日本正2","164,055","36","4,854,642","29.53","29.81","29.45","29.78","+","0.34","29.78","118","29.81","2","0.00",
="00641R","富邦日本反1","399,000","88","3,760,250","9.45","9.46","9.40","9.41","-","0.04","9.40","25","9.41","142","0.00",
="00642U","期元大S&P石油","7,632,380","1,492","124,713,743","16.20","16.41","16.20","16.40","+","0.29","16.39","1,384","16.40","20","0.00",
="00643","群益深証中小","360,002","67","5,525,291","15.42","15.51","15.27","15.49","+","0.21","15.47","16","15.49","16","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","3.51","2","3.58","1","0.00",
="00645","富邦日本","91,424","1,057","2,426,706","26.48","26.64","26.46","26.64","+","0.19","26.64","48","26.65","9","0.00",
="00646","元大S&P500","711,865","745","26,802,954","37.80","37.80","37.50","37.72","-","0.08","37.72","2","37.73","123","0.00",
="00647L","元大S&P500正2","343,257","126","17,983,737","53.00","53.00","51.85","52.45","-","0.75","52.40","6","52.45","157","0.00",
="00648R","元大S&P500反1","2,268,100","218","16,650,596","7.35","7.36","7.32","7.32","+","0.06","7.32","1,228","7.33","547","0.00",
="00650L","FH香港正2","11,197,588","1,747","154,574,294","13.40","14.19","13.34","14.14","+","0.49","14.13","6","14.14","43","0.00",
="00651R","FH香港反1","3,944,000","273","32,737,530","8.46","8.50","8.22","8.24","-","0.13","8.24","109","8.25","150","0.00",
="00652","富邦印度","299,812","1,012","8,530,439","28.47","28.62","28.33","28.62","+","0.05","28.61","3","28.62","62","0.00",
="00653L","富邦印度正2","1,046,180","371","42,688,152","40.88","41.17","40.54","41.09","-","0.49","41.09","2","41.11","8","0.00",
="00654R","富邦印度反1","341,000","92","2,819,090","8.21","8.30","8.20","8.22","+","0.06","8.22","84","8.23","4","0.00",
="00655L","國泰中國A50正2","2,659,250","847","77,561,180","28.59","29.68","28.43","29.41","+","0.78","29.40","14","29.41","150","0.00",
="00656R","國泰中國A50反1","955,100","53","7,800,531","8.24","8.26","8.09","8.13","-","0.08","8.12","100","8.13","148","0.00",
="00657","國泰日經225","103,974","978","3,389,823","32.61","32.66","32.61","32.66","+","0.21","32.60","1","32.66","27","0.00",
="00657K","國泰日經225+U","200","2","2,128","10.64","10.64","10.64","10.64","+","0.01","10.63","1","10.68","1","0.00",
="00660","元大歐洲50","4,167","942","127,880","30.88","30.90","30.88","30.90","-","0.33","30.88","23","30.90","1","0.00",
="00661","元大日經225","8,087","1,006","280,817","34.85","34.90","34.81","34.90","+","0.17","34.87","10","35.00","86","0.00",
="00662","富邦NASDAQ","365,626","472","17,350,954","48.05","48.05","47.16","47.53","-","0.21","47.52","6","47.53","31","0.00",
="00663L","國泰臺灣加權正2","19,000","10","1,940,100","101.40","103.55","101.25","103.50","-","0.20","103.50","254","103.65","50","0.00",
="00664R","國泰臺灣加權反1","7,236,193","492","43,878,246","6.09","6.11","6.03","6.04","+","0.01","6.03","1,571","6.04","584","0.00",
="00665L","富邦恒生國企正2","35,194,297","3,474","291,665,707","8.03","8.62","7.99","8.55","+","0.22","8.55","630","8.56","200","0.00",
="00666R","富邦恒生國企反1","487,000","77","7,148,020","14.91","15.05","14.50","14.55","-","0.17","14.52","1","14.55","23","0.00",
="00668","國泰美國道瓊","36,675","743","1,332,075","36.16","36.37","36.16","36.35","-","0.34","36.33","1","36.35","40","0.00",
="00668K","國泰美國道瓊+U","200","2","2,374","11.87","11.87","11.87","11.87","-","0.16","11.85","1","11.89","1","0.00",
="00669R","國泰美國道瓊反1","28,641,624","1,388","233,769,054","8.17","8.19","8.15","8.15","+","0.10","8.15","1,178","8.16","3,244","0.00",
="00670L","富邦NASDAQ正2","3,362,954","1,272","192,201,795","56.90","57.55","56.65","57.55","-","0.90","57.50","68","57.55","110","0.00",
="00671R","富邦NASDAQ反1","13,170,933","632","79,542,036","6.06","6.07","6.02","6.02","+","0.05","6.02","636","6.03","3,642","0.00",
="00673R","期元大S&P原油反1","20,992,041","1,599","185,745,069","8.93","8.94","8.81","8.82","-","0.14","8.81","1,008","8.82","1,998","0.00",
="00674R","期元大S&P黃金反1","757,000","105","9,791,330","12.95","12.97","12.90","12.90","-","0.06","12.90","82","12.92","111","0.00",
="00675L","富邦臺灣加權正2","1,135,418","623","50,458,580","44.05","45.10","43.89","45.10","+","0.08","45.09","1","45.10","202","0.00",
="00676R","富邦臺灣加權反1","6,009,116","397","20,096,015","3.36","3.36","3.31","3.32"," ","0.00","3.32","9","3.33","3,064","0.00",
="00678","群益NBI生技","318,665","1,017","8,127,799","25.50","25.51","25.34","25.49","-","0.01","25.43","31","25.49","1","0.00",
="00680L","元大美債20正2","10,804,238","1,732","119,546,899","11.04","11.09","11.04","11.08","-","0.24","11.07","240","11.08","559","0.00",
="00681R","元大美債20反1","904,000","49","16,919,650","18.68","18.74","18.68","18.72","+","0.25","18.71","1","18.72","203","0.00",
="00682U","期元大美元指數","535,320","93","11,165,349","20.87","20.88","20.83","20.83","+","0.04","20.83","1","20.84","7","0.00",
="00683L","期元大美元指正2","2,123,769","406","47,283,615","22.20","22.35","22.20","22.21","+","0.13","22.21","14","22.23","104","0.00",
="00684R","期元大美元指反1","9,000","4","142,200","15.80","15.80","15.80","15.80","-","0.10","15.77","1","15.81","20","0.00",
="00685L","群益臺灣加權正2","64,000","49","2,528,260","39.04","39.90","38.90","39.87","-","0.02","39.88","10","39.96","103","0.00",
="00686R","群益臺灣加權反1","441,018","25","1,600,094","3.64","3.64","3.60","3.60","+","0.01","3.59","1,356","3.60","200","0.00",
="00688L","國泰20年美債正2","2,201,350","321","24,094,362","10.92","10.99","10.92","10.97","-","0.21","10.96","33","10.97","9","0.00",
="00689R","國泰20年美債反1","247,000","20","4,792,020","19.41","19.44","19.37","19.37","+","0.23","19.37","360","19.38","2","0.00",
="00690","兆豐藍籌30","281,887","970","7,717,577","27.22","27.47","27.03","27.33","+","0.07","27.33","16","27.40","8","0.00",
="00692","富邦公司治理","3,612,382","2,764","106,078,587","29.19","29.57","29.00","29.53","+","0.11","29.52","75","29.53","20","0.00",
="00693U","期街口S&P黃豆","115,267","69","3,065,464","26.50","26.73","26.47","26.66","-","0.64","26.67","3","26.68","51","0.00",
